,始発時分,時台,終点,阪急六甲,六甲登山口,篠原本町2丁目,篠原本町3丁目,護国神社前,五毛,五毛天神,観⾳寺,神戸高校前,⻘⾕橋,⻘⾕,籠池通3丁目,野崎通3丁目,野崎通5丁目,熊内5丁目,熊内6丁目,布引,加納町2丁目,加納町3丁目,地下鉄三宮駅前,三宮センター街東口,市役所前,三宮神社
0,6:13,6,Mセンター前,4,5,4,5,8,9,12,16,22,28,35,39,41,40,47,45,41,41,41,9,0,,
1,6:21,6,Mセンター前,2,3,3,4,6,7,10,12,15,18,21,27,32,33,39,39,37,38,38,5,0,,
2,6:29,6,Mセンター前,1,2,2,3,4,6,7,8,10,13,20,24,26,28,33,34,29,30,30,8,0,,
3,6:37,6,Mセンター前,5,6,6,7,7,8,10,11,13,14,21,27,32,33,39,42,40,43,42,9,0,,
4,6:45,6,Mセンター前,6,6,7,7,8,12,15,17,16,17,22,26,27,29,34,35,32,34,34,12,0,,
5,6:53,6,Mセンター前,6,6,8,8,10,16,21,24,25,27,31,42,43,46,49,51,47,50,50,11,0,,
6,7:01,7,Mセンター前,8,9,10,11,12,14,20,24,22,24,29,37,38,39,47,48,39,39,40,8,0,,
7,7:06,7,Mセンター前,12,13,14,14,15,17,20,22,19,21,20,26,26,28,31,32,30,31,31,9,0,,
8,7:10,7,Mセンター前,3,4,5,5,7,10,16,21,20,22,22,29,31,32,37,38,30,32,32,8,0,,
9,7:14,7,Mセンター前,16,16,17,18,18,19,21,23,19,22,20,27,26,28,32,36,31,33,32,9,0,,
10,7:19,7,Mセンター前,19,22,23,25,23,26,29,30,27,30,26,32,32,34,38,38,30,32,32,8,0,,
11,7:23,7,Mセンター前,17,19,20,20,20,22,24,24,20,21,17,20,19,21,24,24,20,21,21,7,0,,
12,7:27,7,Mセンター前,23,24,25,25,25,27,30,31,25,28,24,28,28,29,35,36,29,31,30,8,0,,
13,7:30,7,Mセンター前,27,28,28,27,28,30,33,34,26,28,19,22,21,22,26,28,24,25,26,7,0,,
14,7:33,7,Mセンター前,28,29,30,30,31,32,36,37,26,28,22,26,26,28,31,31,25,27,27,8,0,,
15,7:36,7,Mセンター前,27,29,28,30,31,34,38,40,29,31,21,26,26,27,31,31,27,30,29,10,0,,
16,7:39,7,Mセンター前,28,29,30,31,33,36,41,43,34,35,23,26,26,28,33,33,29,31,32,10,0,,
17,7:42,7,Mセンター前,31,31,31,32,33,36,41,42,29,30,22,25,24,25,28,30,27,28,27,9,0,,
18,7:45,7,Mセンター前,41,42,43,44,45,49,52,53,34,37,21,25,25,26,31,34,33,33,33,11,0,,
19,7:48,7,M神社,42,44,45,47,48,52,53,54,36,39,20,25,25,27,32,34,33,34,35,19,13,8,0
20,7:51,7,M神社,42,44,45,47,48,51,53,53,39,41,18,23,24,26,31,32,29,31,32,18,12,6,0
21,7:54,7,M神社,43,45,46,47,49,51,51,52,39,41,16,20,21,23,27,28,26,28,29,17,12,7,0
22,7:57,7,M神社,43,45,46,47,48,49,50,50,38,39,13,16,17,18,23,24,22,23,23,12,10,6,0
23,8:00,8,M神社,39,42,43,43,45,47,49,47,39,40,17,19,20,21,26,27,25,27,27,18,13,7,0
24,8:02,8,M神社,32,34,34,35,36,40,41,38,33,34,12,15,15,16,19,19,18,20,20,14,9,6,0
25,8:05,8,M神社,26,27,28,30,32,35,38,36,35,34,15,18,19,19,22,23,22,23,23,14,10,7,0
26,8:08,8,M神社,19,20,22,23,24,28,30,32,32,30,19,23,23,24,27,28,26,27,27,14,10,6,0
27,8:11,8,Mセンター前,11,13,14,15,16,19,22,25,25,26,18,20,19,20,22,22,21,21,21,8,0,,
28,8:14,8,M神社,13,13,14,15,16,18,22,24,24,25,17,20,20,22,25,27,26,29,29,16,12,9,0
29,8:17,8,Mセンター前,13,14,15,15,17,19,20,23,23,23,14,17,17,18,20,21,19,19,17,5,0,,
30,8:20,8,M神社,10,11,12,12,13,17,18,19,19,19,15,17,17,18,19,21,19,20,19,9,7,6,0
31,8:23,8,Mセンター前,18,19,19,20,20,21,23,24,24,22,12,14,14,15,17,18,16,16,15,4,0,,
32,8:26,8,M神社,13,14,14,14,15,18,19,21,21,18,14,17,18,19,20,22,20,21,21,9,7,5,0
33,8:30,8,M神社,12,13,14,14,15,17,20,21,21,20,18,20,18,19,21,21,18,19,19,7,4,3,0
