,始発時分,時台,終点,阪急六甲,六甲登山口,篠原本町2丁目,篠原本町3丁目,護国神社前,五毛,五毛天神,観⾳寺,神戸高校前,⻘⾕橋,⻘⾕,籠池通3丁目,野崎通3丁目,野崎通5丁目,熊内5丁目,熊内6丁目,布引,加納町2丁目,加納町3丁目,地下鉄三宮駅前,三宮センター街東口,市役所前,三宮神社,
0,6:13,6,Mセンター前,4,6,6,7,9,9,12,15,19,25,28,33,36,36,41,40,37,39,39,11,0,,,
1,6:21,6,Mセンター前,3,4,4,4,5,6,8,11,12,18,22,27,31,33,37,37,34,34,34,8,0,,,
2,6:29,6,Mセンター前,1,1,2,2,3,5,7,9,11,15,19,24,26,29,34,35,34,34,35,9,0,,,
3,6:37,6,Mセンター前,6,6,7,7,11,12,13,14,15,19,25,29,31,34,39,39,38,41,40,11,0,,,
4,6:45,6,Mセンター前,7,7,8,8,10,11,13,13,13,14,16,21,24,25,32,32,30,31,32,11,0,,,
5,6:53,6,Mセンター前,4,4,6,6,8,11,15,18,19,21,25,35,38,41,45,48,45,47,46,10,0,,,
6,7:01,7,Mセンター前,6,7,7,8,10,12,17,21,20,23,28,33,35,37,44,44,36,37,37,7,0,,,
7,7:06,7,Mセンター前,7,8,8,8,8,10,12,14,12,14,16,22,23,24,28,30,26,27,28,6,0,,,
8,7:10,7,Mセンター前,3,3,4,4,5,6,8,11,11,13,15,19,21,22,27,28,26,26,26,7,0,,,
9,7:14,7,Mセンター前,12,12,13,13,13,14,18,19,18,20,20,26,25,26,29,32,27,28,29,7,0,,,
10,7:19,7,Mセンター前,17,19,19,20,18,19,23,24,21,24,23,28,28,30,33,34,28,30,30,8,0,,,
11,7:23,7,Mセンター前,10,12,12,13,13,18,20,20,17,19,18,20,20,21,24,23,20,22,22,8,0,,,
12,7:27,7,Mセンター前,16,17,17,18,17,18,21,22,17,19,17,21,20,21,27,29,25,27,27,7,0,,,
13,7:30,7,Mセンター前,18,18,18,19,18,20,22,23,20,21,17,21,19,20,23,24,22,24,24,7,0,,,
14,7:33,7,Mセンター前,16,17,17,17,17,19,21,24,21,23,20,24,25,26,29,31,25,26,26,7,0,,,
15,7:36,7,Mセンター前,14,15,15,15,15,19,22,24,21,24,21,25,25,26,31,32,26,27,28,9,0,,,
16,7:39,7,Mセンター前,12,13,14,15,17,20,25,26,20,22,22,25,25,26,30,31,27,29,29,10,0,,,
17,7:42,7,Mセンター前,25,26,24,25,26,28,32,33,24,27,21,25,25,26,29,30,29,30,30,11,0,,,
18,7:45,7,Mセンター前,20,21,21,22,23,26,30,31,25,27,21,24,24,25,27,29,26,27,27,11,0,,,
19,7:48,7,M神社,27,28,29,31,33,37,38,39,32,34,22,27,27,27,30,31,31,32,33,20,13,9,0,
20,7:51,7,M神社,33,35,35,36,36,39,41,41,28,31,18,24,25,25,29,30,29,30,30,13,8,4,0,
21,7:54,7,M神社,27,28,29,30,31,33,35,35,26,28,15,20,20,21,25,27,25,27,28,14,10,6,0,
22,7:57,7,M神社,32,33,34,35,36,38,40,39,31,34,19,23,24,25,30,33,32,32,33,18,13,7,0,
23,8:00,8,M神社,29,30,31,31,33,35,37,35,29,30,15,17,17,18,22,25,24,26,26,17,12,7,0,
24,8:02,8,M神社,19,20,21,22,23,25,27,26,23,24,11,13,14,14,16,17,17,18,19,13,10,6,0,
25,8:05,8,M神社,14,15,15,17,18,20,23,23,21,22,15,18,19,20,25,26,24,26,27,18,13,9,0,
26,8:08,8,M神社,18,20,20,22,23,26,29,30,28,29,19,23,25,25,28,29,27,29,30,18,13,8,0,
27,8:11,8,Mセンター前,13,15,16,17,18,20,22,24,24,24,16,20,20,21,23,24,23,25,25,9,0,,,
28,8:14,8,M神社,14,14,15,16,18,20,24,26,25,26,18,22,23,24,27,29,28,29,30,17,13,9,0,
29,8:17,8,Mセンター前,8,8,9,9,11,13,15,18,18,18,15,17,17,18,20,22,19,19,19,7,0,,,
30,8:20,8,M神社,10,11,11,12,12,14,16,17,17,17,15,17,17,18,19,21,19,20,20,12,9,8,0,
31,8:23,8,Mセンター前,17,19,19,20,20,21,22,24,23,22,12,14,15,15,17,18,15,16,15,4,0,,,
32,8:26,8,M神社,10,12,13,13,13,16,18,19,19,18,13,16,17,18,21,22,20,22,22,12,9,7,0,
33,8:30,8,M神社,14,15,16,16,17,19,21,22,20,18,16,18,17,17,20,19,16,17,17,7,4,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
