列,始発時分,時台,終点,JR：A駅,A登山口,B2丁目,B3丁目,C神社前,D,D天神,E寺,F高校前,G橋,G,H3丁目,I3丁目,I5丁目,J5丁目,J6丁目,K,L2丁目,L3丁目,地下鉄M駅,Mセンター街,市役所前,M神社
0,6:13,6,Mセンター街,5,5,5,5,5,5,9,12,13,15,15,16,16,15,17,17,14,15,15,4,0,,
1,6:21,6,Mセンター街,4,4,4,4,5,5,6,6,6,6,7,7,9,9,10,10,9,10,10,3,0,,
2,6:29,6,Mセンター街,2,2,3,3,4,4,5,6,6,7,8,10,10,10,14,14,12,13,13,2,0,,
3,6:36,6,Mセンター街,2,2,2,2,4,4,5,6,6,7,8,9,10,10,12,13,13,13,13,3,0,,
4,6:44,6,Mセンター街,5,5,6,6,6,6,7,9,9,10,10,12,13,12,16,17,15,15,14,2,0,,
5,6:51,6,Mセンター街,2,3,3,3,3,3,4,5,6,6,6,9,10,11,14,14,13,14,13,3,0,,
6,6:58,6,Mセンター街,3,3,4,4,5,5,7,9,8,9,9,11,12,13,15,13,11,11,11,2,0,,
7,7:04,7,Mセンター街,4,4,5,4,6,6,7,8,5,6,7,8,10,10,13,13,11,12,12,2,0,,
8,7:11,7,Mセンター街,7,7,8,8,9,9,10,12,11,11,10,14,15,16,18,18,14,14,14,4,0,,
9,7:17,7,Mセンター街,6,7,7,6,6,8,8,8,7,7,6,7,7,8,8,8,7,7,7,3,0,,
10,7:24,7,Mセンター街,18,18,19,18,18,20,23,24,19,20,17,19,20,23,26,27,22,23,22,4,0,,
11,7:31,7,Mセンター街,15,15,16,18,19,22,24,25,22,24,20,22,21,22,24,23,20,21,21,5,0,,
12,7:37,7,Mセンター街,12,12,12,12,13,15,16,17,12,14,11,15,15,16,19,19,14,15,15,2,0,,
13,7:43,7,Mセンター街,23,23,22,23,24,25,27,28,22,22,12,14,15,18,20,21,18,19,19,5,0,,
14,7:48,7,Mセンター街,14,15,16,17,17,19,20,20,18,19,11,12,14,16,19,19,16,17,16,3,0,,
15,7:53,7,Mセンター街,22,22,23,23,24,26,27,28,26,27,13,16,16,18,21,22,20,23,23,6,4,4,0
16,7:59,7,M神社,13,15,16,17,18,21,23,24,23,23,11,14,14,15,15,16,14,15,14,6,4,3,0
17,8:04,8,M神社,26,27,28,29,31,32,34,34,31,32,13,16,16,17,20,22,19,20,20,8,5,4,0
18,8:09,8,M神社,9,10,11,12,13,16,20,21,21,22,15,16,17,18,22,22,19,20,20,6,4,3,0
19,8:14,8,M神社,20,20,21,22,23,25,28,30,28,28,16,19,19,21,23,27,23,25,23,10,7,6,0
20,8:19,8,M神社,14,15,16,16,17,18,19,20,20,20,12,15,15,16,19,19,16,17,16,5,4,3,0
21,8:24,8,Mセンター街,27,28,29,29,29,30,31,33,29,26,13,15,18,19,23,22,19,20,19,4,0,,
22,8:29,8,M神社,14,15,15,14,14,17,19,21,20,15,13,15,17,19,22,23,20,22,23,9,7,5,0
